task_id,category,experiment,events,output_mib,events_per_second,elapsed_seconds,validation_seconds,peak_rss_mib,klm_nodes,unique_event_uids
1168,ccbar,e1004,5000,57.65103816986084,32.925177485056565,151.85946992295794,14.347003131872043,570.83203125,11919,5000
1169,taupair,e1004,5000,24.89118766784668,58.468991835507744,85.51541326497681,5.88770399405621,471.7578125,7211,5000
1170,uubar,e1004,5000,42.257192611694336,40.03853448790447,124.8796956219885,9.472933141005342,466.7578125,10988,5000
1171,ccbar,e1004,5000,57.375733375549316,37.92850782810927,131.8269630500581,10.112769905012101,604.32421875,12075,5000
1172,taupair,e1004,5000,24.950870513916016,103.03972610242876,48.5249737080012,3.4408596199937165,483.48046875,7291,5000
1173,uubar,e1004,5000,42.606937408447266,47.77828354889048,104.65005497494712,8.034502283902839,484.609375,11178,5000
1174,ccbar,e1004,5000,57.43971061706543,33.95913028547807,147.23580839578062,12.987590522039682,587.6484375,11915,5000
1175,taupair,e1004,5000,24.98559856414795,63.85965310845131,78.29669841000577,5.278763498004992,468.3984375,7218,5000
1176,uubar,e1004,5000,42.12912178039551,71.05169761952948,70.37129537388682,5.412561433855444,537.63671875,11043,5000
1177,ccbar,e1004,5000,57.41833972930908,56.176295443462934,89.00551309995353,6.710522616980597,612.6796875,11943,5000
1178,taupair,e1004,5000,24.98148250579834,52.825714676130396,94.65087279281579,7.796596496133134,485.8359375,7125,5000
1179,uubar,e1004,5000,42.62509822845459,72.58902367429988,68.88093746011145,5.205265408847481,534.9921875,11075,5000
1180,ccbar,e1004,5000,57.44789123535156,58.91724310580171,84.86479910509661,6.978392807999626,737.14453125,12180,5000
1181,taupair,e1004,5000,24.94481086730957,49.47843203311924,101.05413196305744,6.749122758163139,391.22265625,7179,5000
1182,uubar,e1004,5000,42.571974754333496,69.52906336952736,71.91237387200817,5.4966416920069605,560.99609375,11260,5000
1183,ccbar,e1004,5000,57.20742416381836,25.777759754366546,193.96565285907127,13.823971051024273,577.51953125,11810,5000
1184,taupair,e1004,5000,25.12099552154541,69.1067635297855,72.35181832592934,5.191621797857806,393.48046875,7432,5000
1185,uubar,e1004,5000,42.04426574707031,42.62918668335948,117.2905323561281,14.445188262034208,527.83203125,10946,5000
1186,ccbar,e1004,5000,57.39256000518799,59.425922452523366,84.1383657779079,6.814509217161685,637.7578125,11993,5000
1187,taupair,e1004,5000,25.00198459625244,103.54588960036438,48.28776902006939,3.8118483249563724,445.48828125,7212,5000
1188,uubar,e1004,5000,42.677889823913574,39.12190938025149,127.80562296696007,11.172354951035231,540.96484375,11263,5000
1189,ccbar,e1004,5000,57.63502216339111,35.1354163051933,142.3065534948837,11.045113706961274,603.62109375,12139,5000
1190,taupair,e1004,5000,24.93857479095459,65.97240186722415,75.78926730700186,5.256641990999924,473.3515625,7318,5000
1191,uubar,e1004,5000,42.187171936035156,71.78788587373921,69.64963432401419,5.314339790027589,532.36328125,10955,5000
1192,ccbar,e1004,5000,57.573636054992676,37.78790550181765,132.31746860803105,10.791443757014349,598.09765625,11893,5000
1193,taupair,e1004,5000,25.087740898132324,108.98950856158832,45.87597527494654,3.135473985923454,466.7109375,7286,5000
1194,uubar,e1004,5000,42.86153697967529,33.017805303655436,151.43344489485025,11.625276589998975,446.046875,11087,5000
1195,ccbar,e1004,5000,57.43243885040283,57.073991441792614,87.60557784186676,6.941166209988296,673.984375,11982,5000
1196,taupair,e1004,5000,25.007190704345703,108.0306371570941,46.283166808774695,3.4622509798500687,467.97265625,7309,5000
1197,uubar,e1004,5000,42.19119739532471,41.119377493751685,121.5971715709893,8.811719903955236,536.3828125,10872,5000
1198,ccbar,e1004,5000,57.3815803527832,24.259811152037663,206.10218145,14.682784656999502,604.2734375,11967,5000
1199,taupair,e1004,5000,24.83213710784912,29.67412814417912,168.496947095,10.248639661000198,456.515625,7264,5000
1200,uubar,e1004,5000,42.3970890045166,43.81550344034857,114.11485906597227,9.407783241011202,522.234375,11242,5000
1201,ccbar,e1004,5000,57.58439064025879,26.378180045875354,189.5506055119913,15.4704269641079,523.77734375,11859,5000
1202,taupair,e1004,5000,25.06094741821289,66.63766352095503,75.03264274005778,4.996887022163719,387.2421875,7236,5000
1203,uubar,e1004,5000,42.30700969696045,39.751164153644055,125.78247974510305,11.675790903158486,538.765625,11106,5000
1204,ccbar,e1004,5000,57.70464515686035,56.165217807374766,89.023067926988,7.164008338004351,615.1015625,12130,5000
1205,taupair,e1004,5000,24.972439765930176,63.901780062056744,78.2450816729106,7.075367035111412,479.140625,7263,5000
1206,uubar,e1004,5000,42.6191520690918,42.44787925532454,117.79151485813782,8.852089612046257,542.2734375,11147,5000
1207,ccbar,e1004,5000,57.63325214385986,38.13349954352278,131.1183096189052,10.11479627317749,564.51953125,12104,5000
1208,taupair,e1004,5000,25.116585731506348,106.76629979787279,46.831256767967716,3.3038279078900814,482.03125,7238,5000
1209,uubar,e1004,5000,42.58058547973633,73.39711035816184,68.12257288605906,5.171630953904241,545.0078125,11146,5000
1210,ccbar,e1004,5000,57.43872833251953,56.94426964295503,87.80514758289792,7.147886118851602,625.66796875,12023,5000
1211,taupair,e1004,5000,24.915836334228516,58.88433239521633,84.9122304120101,6.323431232012808,459.0234375,7132,5000
1212,uubar,e1004,5000,42.653913497924805,40.47764096665665,123.52498516696505,10.281772972084582,528.1796875,11214,5000
1213,ccbar,e1004,5000,57.10626029968262,24.181550212661243,206.76920859201346,14.651922746037599,607.6875,11989,5000
1214,taupair,e1004,5000,25.0486478805542,42.846947141084726,116.69442827597959,7.88709238904994,465.59375,7300,5000
1215,uubar,e1004,5000,42.4308500289917,36.65805022510816,136.39568851306103,11.462435794062912,503.31640625,11128,5000
1216,ccbar,e1004,5000,57.36180305480957,33.636375649506014,148.64859555917792,11.449882253073156,701.88671875,12158,5000
1217,taupair,e1004,5000,24.939045906066895,62.52133339486461,79.97270257212222,8.405131604988128,467.8984375,7424,5000
1218,uubar,e1004,5000,42.03066158294678,45.032383299558404,111.0312098460272,10.17819527699612,535.69921875,10726,5000
1219,ccbar,e1004,5000,57.50431442260742,59.66418221947692,83.80237211007625,6.654886252013966,643.6171875,12066,5000
1220,taupair,e1004,5000,24.899715423583984,53.44555830687526,93.55314376717433,7.385046612937003,457.1171875,7207,5000
1221,uubar,e1004,5000,42.50435256958008,73.97617145403534,67.58933183108456,5.231882620137185,565.76953125,11120,5000
1222,ccbar,e1004,5000,57.554978370666504,35.58459996314863,140.51022085896693,14.648251001024619,698.6328125,11990,5000
1223,taupair,e1004,5000,24.83137321472168,108.04313826487173,46.27781162504107,3.2919692718423903,466.42578125,7083,5000
1224,uubar,e1004,5000,42.63043689727783,40.14291198129555,124.55498999000702,9.545283266998013,535.87890625,11101,5000
1225,ccbar,e1004,5000,57.37486267089844,36.97183719039218,135.23807254293934,10.770649434998631,565.40625,11772,5000
1226,taupair,e1004,5000,25.003653526306152,69.77708928107869,71.6567579919938,5.348733557155356,389.19921875,7300,5000
1227,uubar,e1004,5000,42.49526405334473,70.5919555157743,70.82960039097816,5.560241136001423,560.01953125,11122,5000
1228,ccbar,e1004,5000,57.50612449645996,36.014452303265884,138.83315392100485,10.760156648000702,647.171875,11977,5000
1229,taupair,e1004,5000,24.982620239257812,101.56884943656057,49.22769163711928,3.8307585360016674,473.828125,7226,5000
1230,uubar,e1004,5000,42.35068416595459,41.583296488423684,120.24058750108816,9.90755327581428,567.2734375,10959,5000
1231,ccbar,e1004,5000,57.42941093444824,56.08269303761302,89.15406392212026,6.865357413887978,684.8828125,11913,5000
1232,taupair,e1004,5000,24.95802879333496,60.87950580032908,82.1294446180109,6.673904221970588,466.21875,7183,5000
